Horizontal Bracing,HB001,Top Horizontal Bracing Position,Defines position of top horizontal bracing relative to upright top,TopBracingDistance = 88mm from UprightTop,"UprightTop, TopHorizontalBracingPosition","IF(TopBracingDistance < 88mm, ""Invalid: Top bracing too close to upright top"", ""Valid"")",None,,,,,
,HB002,Additional Top Bracing Requirement,Determines if additional top horizontal bracing is needed,GapDistance = UprightTop - TopHorizontalBracingPosition,"GapDistance, AdditionalBracingThreshold1, AdditionalBracingThreshold2","IF(TopHorizontalBracing > LastLoadingLevel AND GapDistance ≤ 250mm, AdditionalBracing = ""Not Required"", IF(GapDistance > 250mm AND GapDistance < 550mm, AdditionalBracing = ""Required"", AdditionalBracing = ""Not Required""))",HB001,,,,,
Row Connector ,RC003,Row Connector Vertical Pitch,Defines standard vertical spacing between row connectors,RowConnectorPitch = 2000mm,RowConnectorPitch,Vertical pitch must not exceed 2000mm,None,,,,,
,RC004,First Row Connector Position,Defines position of lowest row connector,FirstRowConnectorHeight = 1300mm from bottom,FirstRowConnectorHeight,First row connector must be at specified height,None,,,,,
,RC005,Last Row Connector Position,Defines position of highest row connector,LastRowConnectorHeight = UprightHeight - 150mm,"UprightHeight, LastRowConnectorFromTop",Last row connector must be at specified distance from top,None,,,,,
,RC006,Row Connector Placement,Defines where row connectors are installed,"RowConnectorPlacement = ""Between two frames in double faced row""",,Row connectors must connect back-to-back single-faced units,None,,,,,
,RC007,Row Connector and Pallet Stopper Clearance,Prevents interference between row connectors and pallet stoppers,RowConnectorPosition ≠ PalletStopperPosition,,Row connectors and pallet stoppers must not intersect,None,,,,,
,RC008,Row Connector and Beam Clearance,Prevents interference between row connectors and beams,RowConnectorPosition ≠ BeamPosition,,Row connectors and loading level beams must not intersect,None,,,,,
Mesh cladding,MC001,Rear Mesh Width,Calculates width of rear mesh panels,RearMeshWidth = UprightCenterToCenter - 3mm,"UprightCenterToCenter, RearMeshWidthOffset",RearMeshWidth must match calculated dimension,None,,,,,
,MC002,Side Mesh Width,Calculates width of side mesh panels,SideMeshWidth = FrameDepth - 11mm,"FrameDepth, SideMeshWidthOffset",SideMeshWidth must match calculated dimension,None,,,,,
,MC003,Mesh Height Increments,Defines the pitch for mesh height options,MeshHeightPitch = 50mm,MeshHeightPitch,Height options must be in increments of 50mm,None,,,,,
