Group,Rule ID,Name,Description,Formula,Parameters,Validation
,HD004,Height Definition for Ratio,Defines which height to use for ratio calculation,HeightForRatio = LastLoadingLevelHeight,Height used must be last loading level height from floor,LastLoadingLevelHeight
ROW Connector,RC001,Row Connector Purpose,Defines purpose of row connectors,"RowConnectorPurpose = ""Join racking frames back to back to form double-sided run""",Row connectors must be used for double-sided configurations,None
,RC002,First Row Connector Position,Defines position of first row connector,FirstRowConnectorHeight = 1300mm from floor,First row connector must be at specified height,FirstRowConnectorHeight
,RC003,Second Row Connector Position,Defines position of second row connector,SecondRowConnectorHeight = FirstRowConnectorHeight + 2500mm,Second row connector must be at specified height,"FirstRowConnectorHeight, RowConnectorSpacing"
,RC004,Intermediate Row Connector Spacing,Defines spacing between intermediate row connectors,IntermediateRowConnectorSpacing = 2500mm,Intermediate connectors must be at specified spacing,RowConnectorSpacing
,RC005,Last Row Connector Position,Defines position of last row connector,LastRowConnectorHeight = FrameHeight - 150mm,Last row connector must be below last horizontal bracing and at specified distance from top,"FrameHeight, LastConnectorTopDistance"
,RC006,Maximum Row Connector Spacing,Defines maximum allowable spacing between row connectors,MaxRowConnectorSpacing = 2900mm,"IF(ActualRowConnectorSpacing > MaxRowConnectorSpacing, ""Invalid: Row connector spacing exceeds maximum"")","MaxRowConnectorSpacing, ActualRowConnectorSpacing"
,RC007,Row Connector Proximity to Bracing Nodes,Defines maximum distance from bracing nodes,MaxDistanceFromBracingNode = 200mm,"IF(ActualDistanceFromBracingNode > MaxDistanceFromBracingNode, ""Invalid: Row connector too far from bracing node"")","MaxDistanceFromBracingNode, ActualDistanceFromBracingNode"
,RC008,Short Frame Row Connector Rule,Defines row connector requirements for frames less than 4m,"IF(FrameHeight < 4000mm, RequiredRowConnectors = 2, FirstRowConnectorHeight = 1300mm, LastRowConnectorHeight = FrameHeight - 150mm)",Short frames must have two row connectors at specified positions,"FrameHeight, ShortFrameThreshold, FirstRowConnectorHeight, LastConnectorTopDistance"
,RC009,X-Bracing Continuity Rule,Ensures X-bracing continuity across multiple uprights,"IF(UprightCount > 2 AND XBracingUsed = TRUE, XBracingContinuity = ""Maintain 600mm pitch in consecutive uprights"")",X-bracing must maintain consistent pitch across consecutive uprights,"UprightCount, XBracingUsed, XBracingPitch"
