Epic,req id,req desc
Advanced Features ,GSS_DC_SyRS_411108,"The system shall manage rule specifications as unit‑testable artifacts with golden test cases and a certification badge displayed when all golden cases pass; core rules shall be non‑editable by administrators; any rule modification shall trigger an alert, be captured with full version and audit history, and be summarized in a monthly change-and-compliance report."
Advanced Features ,GSS_DC_SyRS_411109,"The system shall display component-level changes in the Bill of Materials (BOM) between revisions, including added, removed, and modified items, and compute associated cost deltas to provide a clear financial impact of design changes."
Advanced Features ,GSS_DC_SyRS_411111,The system shall read component availability and lead‑time values from predefined columns in the Master BOM structure and automatically flag obsolescence at the component level; on first detection show a pop‑up notification to the user and thereafter persist the alert in a Notification Center for a configured defined period of time
Advanced Features ,GSS_DC_SyRS_411112,"The system shall allow sharing of view-only links as a public link to the customer, with configurable expiration dates, watermarking of shared content, and enforcement of view-only permissions; additionally, the system shall capture recipient feedback and persist it for review."
Advanced Features ,GSS_DC_SyRS_411113,The system shall provide a lightweight feedback widget for quick user input and include Net Promoter Score (NPS) functionality to capture user satisfactions and identify power users.
Advanced Features ,GSS_DC_SyRS_411114,"The system shall visualize pedestrian safety zones, vehicle movement zones, buffer areas, and docking zones within the 2D/3D layout to ensure compliance with safety standards and improve operational planning."
Advanced Features ,GSS_DC_SyRS_411115,– Put on Hold
Advanced Features ,GSS_DC_SyRS_411116,All rule specifications defined in the configuration must be enforced and covered during validation and output generation.
Advanced Features ,GSS_DC_SyRS_411117,Administrative rule changes shall require approval from two authorized admin users before becoming effective.
Advanced Features ,GSS_DC_SyRS_411118,The system shall allow admin users to add comments for each rule while adding/editing to provide context or justification.
Advanced Features ,GSS_DC_SyRS_411119,"When editing a rule, updating the rule description shall be mandatory before saving changes."
Advanced Features ,GSS_DC_SyRS_411120,"The system shall maintain a complete audit trail of all rule changes, including timestamps, admin user details, and change descriptions."
Future AI Integration,GSS_DC_SyRS_411200,The system shall capture and structure all data in a format that facilitates seamless integration with AI modules and other relevant applications.
Rack metrics (Cost Comparison),GSS_DC_SyRS_411300,"The system shall enable cost comparison between racking and shelving product groups based on user inputs like capacity, pallet position, overall cost."
Rack metrics (Cost Comparison),GSS_DC_SyRS_411301,The system shall restrict cross-comparison between incompatible product groups.
Rack metrics (Cost Comparison),GSS_DC_SyRS_411302,The system shall generate and provide option to download the reports and it is independent of enquiries.
 3D Visualization,GSS_DC_SyRS_411400,"The system shall support 3D visualization of civil components, racking layouts, MHE, and SKUs."
 3D Visualization,GSS_DC_SyRS_411401,The system shall include textures for flooring and walls.
 3D Visualization,GSS_DC_SyRS_411403,The system shall export 3D views in PDF or web viewer formats.
BOM Generation  ,GSS_DC_SyRS_411500,The system shall generate BOMs for full and partial layouts based on selected area or user-selected block.
BOM Generation  ,GSS_DC_SyRS_411501,"The BOM shall include cost, weight, shipping volumes and assembly time estimates."
BOM Generation  ,GSS_DC_SyRS_411502,The System shall display and allow export of assembly time and cost estimation during BOM generation.
BOM Generation  ,GSS_DC_SyRS_411503,The BOM output shall include a column for the assembly drawing number.
BOM Generation  ,GSS_DC_SyRS_411504,"Users shall be able to create new items in the layout or add them directly to the BOM, and both shall reflect in the BOM output."
BOM Generation  ,GSS_DC_SyRS_411505,The BOM output shall be customizable per user role to include/exclude weight and show prices in INR or USD.
BOM Generation  ,GSS_DC_SyRS_411506,The software shall support collapsible BOM format to show component-level BOM under each assembly.
BOM Generation  ,GSS_DC_SyRS_411507,Users shall be able to generate BOM without creating a drawing.
BOM Generation  ,GSS_DC_SyRS_411508,The BOM output shall be editable or non-editable based on the user’s role.
BOM Generation  ,GSS_DC_SyRS_411509,The BOM pricing shall be linked to formulas that support discount application.
BOM Generation  ,GSS_DC_SyRS_411510,All component linkages in the BOM shall be formula-driven for Excel exports.
BOM Generation  ,GSS_DC_SyRS_411511,The Component BOM feature shall include all latest components available in the system.
BOM Generation  ,GSS_DC_SyRS_411512,"The BOM output format shall be Excel or PDF based on user role, with HO users able to choose the format."
Assembly Drawing,GSS_DC_SyRS_411600,The system shall link GA drawings to assembly manuals.
Assembly Drawing,GSS_DC_SyRS_411601,"The system shall display component details like component name, type, price and weight via tooltips and on-click actions"
General Functional Enhancements  ,GSS_DC_SyRS_411700,The system shall support plug-in/plug-out functionality.
General Functional Enhancements  ,GSS_DC_SyRS_411702,The system shall support admin access to all drawings and files.
General Functional Enhancements  ,GSS_DC_SyRS_411703,The system shall support version management of design outputs.
General Functional Enhancements  ,GSS_DC_SyRS_411704,The system shall prevent output generation if layout errors are detected and shall alert the user with necessary correction guidance before proceeding.
General Functional Enhancements  ,GSS_DC_SyRS_411705,"The system shall allow the admin to customize solution access by restricting components or product groups (PG) per user, with full control over what is assigned to whom."
User help guide,GSS_DC_SyRS_411800,The software shall display contextual pop-ups and alerts to guide users during layout preparation.
User help guide,GSS_DC_SyRS_411801,"The software shall provide tooltip help text on component hover, including name, technical details, usage, and linked components."
User help guide,GSS_DC_SyRS_411802,The software shall generate alerts and caution messages when discrepancies are detected during layout preparation.
User help guide,GSS_DC_SyRS_411803,The software shall display descriptive tooltip text for all UI icons to assist user navigation and understanding.
User help guide,GSS_DC_SyRS_411804,The software shall show error pop-ups with actionable correction suggestions to help users resolve layout issues.
User help guide,GSS_DC_SyRS_411805,The software must prevent BOM output generation if any errors are present in the configuration or design.
"Load Chart, Master BOM and Reckoner Utility",GSS_DC_SyRS_411900,"The system shall redevelop existing Excel-based data views into an interactive web UI for improved accessibility, usability, and integration for Load Chart, Master BOM and Reckoner Utility."
Admin Configuration Page,GSS_DC_SyRS_412000,"The System shall allow Admin users to Configure new users, configure new components, import load charts, Master BOM and manage Reckoner Utility."
 Non- Functional Requirements,GSS_DC_SyRS_420000,The system shall provide a responsive and intuitive user interface for layout design.
 Non- Functional Requirements,GSS_DC_SyRS_420001,The system shall ensure high performance and low latency during drag-and-drop operations.
 Non- Functional Requirements,GSS_DC_SyRS_420002,The system shall support secure user authentication and role-based access control.
 Non- Functional Requirements,GSS_DC_SyRS_420003,The system shall be scalable to support large warehouse layouts and multiple concurrent users.
 Non- Functional Requirements,GSS_DC_SyRS_420004,The system shall maintain data integrity and provide regular backups of design data.
 Non- Functional Requirements,GSS_DC_SyRS_420005,The system shall be compatible with major browsers and operating systems.
 Non- Functional Requirements,GSS_DC_SyRS_420006,Database Choice Rationale
 Non- Functional Requirements,GSS_DC_SyRS_420007,Read Throughput:
 Non- Functional Requirements,GSS_DC_SyRS_420008,Write Throughput:
 Non- Functional Requirements,GSS_DC_SyRS_420009,Storage Needs
 Non- Functional Requirements,GSS_DC_SyRS_420010,Compute Needs
 Non- Functional Requirements,GSS_DC_SyRS_420011,Instances Required
 Non- Functional Requirements,GSS_DC_SyRS_420012,Number of Users
 Non- Functional Requirements,GSS_DC_SyRS_420013,Number of Concurrent Users
 Non- Functional Requirements,GSS_DC_SyRS_420014,Horizontal vs Vertical Scaling
 Non- Functional Requirements,GSS_DC_SyRS_420016,DevOps Pipeline
 Non- Functional Requirements,GSS_DC_SyRS_420017,State Management
 Non- Functional Requirements,GSS_DC_SyRS_420018,Caching Needs
 Non- Functional Requirements,GSS_DC_SyRS_420019,Data Encryption:
 Non- Functional Requirements,GSS_DC_SyRS_420020,Audit Logging:
 Non- Functional Requirements,GSS_DC_SyRS_420021,Access Control:
 Non- Functional Requirements,GSS_DC_SyRS_420022,DDoS Protection:
 Non- Functional Requirements,GSS_DC_SyRS_420023,Rate Limiting:
 Non- Functional Requirements,GSS_DC_SyRS_420024,Data Privacy Compliance:
 Non- Functional Requirements,GSS_DC_SyRS_420025,Response Time:
 Non- Functional Requirements,GSS_DC_SyRS_420026,Scalability:
 Non- Functional Requirements,GSS_DC_SyRS_420027,Modular Architecture:
 Non- Functional Requirements,GSS_DC_SyRS_420028,Configuration-Driven Logic:
 Non- Functional Requirements,GSS_DC_SyRS_420029,Reliability & Availability (Uptime):
 Non- Functional Requirements,GSS_DC_SyRS_420030,Reliability & Availability (Failover):
 Non- Functional Requirements,GSS_DC_SyRS_420031,Localization Support:
 Non- Functional Requirements,GSS_DC_SyRS_420032,Automated Testing:
 Non- Functional Requirements,GSS_DC_SyRS_420033,Test Environment:
 Non- Functional Requirements,GSS_DC_SyRS_420034,Load Testing:
 Non- Functional Requirements,GSS_DC_SyRS_420035,Stress Testing:
 Non- Functional Requirements,GSS_DC_SyRS_420036,Latency Targets:
 Non- Functional Requirements,GSS_DC_SyRS_420037,Automated Backups:
 Non- Functional Requirements,GSS_DC_SyRS_420039,Observability (Logging):
 Non- Functional Requirements,GSS_DC_SyRS_420040,Observability (Monitoring):
 Non- Functional Requirements,GSS_DC_SyRS_420041,Observability (Alerting):
 Non- Functional Requirements,GSS_DC_SyRS_420042,Observability (Tracing):
 Non- Functional Requirements,GSS_DC_SyRS_420043,"The application version shall be displayed unobtrusively on the website, ensuring visibility without distracting from the primary content."
 Non- Functional Requirements,GSS_DC_SyRS_440100,The configurator shall integrate with the Enquiry App to fetch customer-specific enquiry data
 Non- Functional Requirements,GSS_DC_SyRS_440101,The integration shall support bi-directional data sync to update enquiry status based on configuration progress.
 Non- Functional Requirements,GSS_DC_SyRS_610000,The system shall support Google Chrome version 131.0.6778.266 and above.
 Non- Functional Requirements,GSS_DC_SyRS_610001,The system should support Microsoft Edge version 132 and above.
 Non- Functional Requirements,GSS_DC_SyRS_620000,The system shall implement role-based authentication using traditional login mechanisms.
 Non- Functional Requirements,GSS_DC_SyRS_620001,Defined roles shall include:
 Non- Functional Requirements,GSS_DC_SyRS_620002,The system shall support Single Sign-On (SSO) for enterprise users.
